Transaction,Item,date_time
326,_set_tamu_2111,2024-04
327,_tt_180,2024-04
328,_tt_180,2024-04
329,_tt_160,2024-04
330,_tt_160,2024-04
331,_tt_120,2024-04
332,_tt_160,2024-04
333,_tt_160,2024-04
334,_tt_160,2024-04
335,_tt_L160,2024-04
336,_tt_160,2024-04
337,_mm_tv_2x3,2024-04
337,_mm_tv_2x3,2024-04
337,_mm_tv_2x3,2024-04
337,_mm_tv_2x3,2024-04
337,_tt_200,2024-04
337,_tt_200,2024-04
338,_tt_160,2024-04
339,_tt_200,2024-04
340,_tt_160,2024-04
341,_tt_L160L,2024-04
342,_tt_180,2024-04
343,_rak_sepatu+kursi,2024-04
344,_tt_140,2024-04
345,_set_tamu_sedan_211,2024-04
346,_tt_180,2024-04
347,_tt_L160L,2024-04
348,_tt_160,2024-04
349,_set_tamu_busa_211,2024-04
350,_rak_sepatu+kursi,2024-04
351,_tt_160,2024-04
352,_tt_L120L,2024-04
353,_tt_160,2024-04
354,_tt_140,2024-04
355,_tt_160,2024-04
356,_tt_160,2024-04
357,_tt_120,2024-04
358,_tt_160,2024-04
359,_tt_180,2024-04
360,_tt_160,2024-04
361,_tt_L120L,2024-04
362,_tt_160,2024-04
363,_rak_sepatu+kursi,2024-04
364,_tt_180,2024-04
365,_tt_180,2024-04
366,_tt_180,2024-04
367,_tt_100,2024-04
368,_tt_180,2024-04
369,_tt_210,2024-04
370,_tt_140,2024-04
371,rak_sepatu+kursi,2024-04
372,_tt_180,2024-04
373,_tt_160,2024-04
374,_tt_160,2024-04
375,_set_tamu_betawi_11,2024-04
376,_set_tamu_2111,2024-04
377,_tt_160,2024-04
378,_tt_180,2024-04
379,_tt_180,2024-04
380,_tt_160,2024-04
381,_mm_tv_2x3,2024-04
381,_mm_tv_2x3,2024-04
381,_mm_tv_2x3,2024-04
381,_mm_tv_2x3,2024-04
381,_tt_200,2024-04
381,_tt_200,2024-04
382,_tt_160,2024-04
383,_set_tamu_2111,2024-04
384,_set_tamu_2111TK,2024-04
384,_lemari_makan,2024-04
385,_tt_A+B120,2024-04
386,_set_tamu_sedan_211,2024-04
387,_tt_120,2024-04
388,_tt_160,2024-04
389,_tt_120,2024-04
390,_rak_sepatu+kursi,2024-04
391,_tt_160,2024-04
392,_tt_L180L,2024-04
392,_tt_L180L,2024-04
393,_tt_180,2024-05
394,_tt_120,2024-05
395,_tt_160,2024-05
396,_tt_160,2024-05
397,_rak_sepatu+kursi,2024-05
398,_tt_160,2024-05
399,_tt_180,2024-05
400,_tt_180,2024-05
400,_tt_180,2024-05
401,_tt_180,2024-05
402,_tt_160,2024-05
403,_tt_160,2024-05
404,_tt_120,2024-05
405,_tt_160,2024-05
406,_tt_180,2024-05
407,_tt_180,2024-05
408,_tt_180,2024-05
408,_tt_180,2024-05
409,_tt_180,2024-05
